study_id,item_id,item_filename,item_cdn_url,tester_id,tester_external_id,tester_display_name,tester_tags,tester_quality_grade,tester_quality_grade_item,test_item_display_order,aoi_id,aoi_name,aoi_item_parts,aoi_size_percents,aoi_time_range_from_ms,aoi_time_range_to_ms,aoi_fixation_total_count,aoi_fixation_average_duration_ms,aoi_fixation_ttff_ms,aoi_fixation_average_total_time_spent_ms,aoi_fixation_first_fixation_average_duration_ms,notes
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,723525b0-545e-4f10-953d-c3e809eddef8,,"Marta, Female, 21",,5,5,3,6b42f73a-413e-4370-adec-ec9edf110017,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":841,""yPx"":0},""bottomRight"":{""xPx"":1679,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.688552188552187,""widthPercents"":49.88095238095238,""heightPercents"":49.494949494949495}}]",24.688552188552,500,40000,50,361,2660,18059,201,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,723525b0-545e-4f10-953d-c3e809eddef8,,"Marta, Female, 21",,5,5,3,14367960-e7fd-4471-8ed9-24dd1b223b7d,wyksztalcenie,"[{""areaPoints"":{""topLeft"":{""xPx"":845,""yPx"":587},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.042087542087543,""widthPercents"":49.583333333333336,""heightPercents"":50.505050505050505}}]",25.042087542088,500,40000,23,377,5952,8667,179,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,723525b0-545e-4f10-953d-c3e809eddef8,,"Marta, Female, 21",,5,5,3,0dff07c7-3d2a-4175-bb72-fd8e09b63c0e,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":588},""bottomRight"":{""xPx"":841,""yPx"":1188}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.282587782587782,""widthPercents"":50.05952380952381,""heightPercents"":50.505050505050505}}]",25.282587782588,500,40000,13,417,17271,5423,414,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,b6462e2d-a095-4b79-80f9-4b495e562be8,,"Anonymous, Female, 24",,6,6,5,fefee93f-cdcd-4190-bcc6-070948ca2710,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":0},""bottomRight"":{""xPx"":839,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.718013468013467,""widthPercents"":49.94047619047619,""heightPercents"":49.494949494949495}}]",24.718013468013,500,40000,4,204,1923,815,110,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,b6462e2d-a095-4b79-80f9-4b495e562be8,,"Anonymous, Female, 24",,6,6,5,6b42f73a-413e-4370-adec-ec9edf110017,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":841,""yPx"":0},""bottomRight"":{""xPx"":1679,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.688552188552187,""widthPercents"":49.88095238095238,""heightPercents"":49.494949494949495}}]",24.688552188552,500,40000,24,631,2853,15142,294,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,b6462e2d-a095-4b79-80f9-4b495e562be8,,"Anonymous, Female, 24",,6,6,5,14367960-e7fd-4471-8ed9-24dd1b223b7d,wyksztalcenie,"[{""areaPoints"":{""topLeft"":{""xPx"":845,""yPx"":587},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.042087542087543,""widthPercents"":49.583333333333336,""heightPercents"":50.505050505050505}}]",25.042087542088,500,40000,20,616,12657,12321,158,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,b6462e2d-a095-4b79-80f9-4b495e562be8,,"Anonymous, Female, 24",,6,6,5,0dff07c7-3d2a-4175-bb72-fd8e09b63c0e,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":588},""bottomRight"":{""xPx"":841,""yPx"":1188}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.282587782587782,""widthPercents"":50.05952380952381,""heightPercents"":50.505050505050505}}]",25.282587782588,500,40000,9,842,24500,7576,167,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,bd227022-016b-464a-8c98-007f9c43f948,,"Ania, Female, 22",,5,5,1,fefee93f-cdcd-4190-bcc6-070948ca2710,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":0},""bottomRight"":{""xPx"":839,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.718013468013467,""widthPercents"":49.94047619047619,""heightPercents"":49.494949494949495}}]",24.718013468013,500,40000,5,244,638,1222,122,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,bd227022-016b-464a-8c98-007f9c43f948,,"Ania, Female, 22",,5,5,1,6b42f73a-413e-4370-adec-ec9edf110017,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":841,""yPx"":0},""bottomRight"":{""xPx"":1679,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.688552188552187,""widthPercents"":49.88095238095238,""heightPercents"":49.494949494949495}}]",24.688552188552,500,40000,44,338,794,14878,121,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,bd227022-016b-464a-8c98-007f9c43f948,,"Ania, Female, 22",,5,5,1,14367960-e7fd-4471-8ed9-24dd1b223b7d,wyksztalcenie,"[{""areaPoints"":{""topLeft"":{""xPx"":845,""yPx"":587},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.042087542087543,""widthPercents"":49.583333333333336,""heightPercents"":50.505050505050505}}]",25.042087542088,500,40000,36,246,4802,8866,120,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,bd227022-016b-464a-8c98-007f9c43f948,,"Ania, Female, 22",,5,5,1,0dff07c7-3d2a-4175-bb72-fd8e09b63c0e,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":588},""bottomRight"":{""xPx"":841,""yPx"":1188}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.282587782587782,""widthPercents"":50.05952380952381,""heightPercents"":50.505050505050505}}]",25.282587782588,500,40000,23,300,8558,6901,147,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,1005b1e2-4248-490b-945a-d7073971f4cf,,"Marysia, Female, 21",,5,5,3,fefee93f-cdcd-4190-bcc6-070948ca2710,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":0},""bottomRight"":{""xPx"":839,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.718013468013467,""widthPercents"":49.94047619047619,""heightPercents"":49.494949494949495}}]",24.718013468013,500,40000,10,180,1485,1797,100,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,1005b1e2-4248-490b-945a-d7073971f4cf,,"Marysia, Female, 21",,5,5,3,6b42f73a-413e-4370-adec-ec9edf110017,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":841,""yPx"":0},""bottomRight"":{""xPx"":1679,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.688552188552187,""widthPercents"":49.88095238095238,""heightPercents"":49.494949494949495}}]",24.688552188552,500,40000,53,311,1202,16503,133,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,1005b1e2-4248-490b-945a-d7073971f4cf,,"Marysia, Female, 21",,5,5,3,14367960-e7fd-4471-8ed9-24dd1b223b7d,wyksztalcenie,"[{""areaPoints"":{""topLeft"":{""xPx"":845,""yPx"":587},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.042087542087543,""widthPercents"":49.583333333333336,""heightPercents"":50.505050505050505}}]",25.042087542088,500,40000,23,264,6716,6075,145,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,1005b1e2-4248-490b-945a-d7073971f4cf,,"Marysia, Female, 21",,5,5,3,0dff07c7-3d2a-4175-bb72-fd8e09b63c0e,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":588},""bottomRight"":{""xPx"":841,""yPx"":1188}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.282587782587782,""widthPercents"":50.05952380952381,""heightPercents"":50.505050505050505}}]",25.282587782588,500,40000,10,278,17874,2780,486,
d155b055-9d26-4c3e-899b-2943ddae0867,aa237016-c224-4084-a18d-3181f57c388b,"Weronika Michalak.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_aa237016-c224-4084-a18d-3181f57c388b.jpg,d3d013b6-91c2-4573-a96f-b8463b66a4a0,,"nnn, Female, 22",,5,5,6,fefee93f-cdcd-4190-bcc6-070948ca2710,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":0},""bottomRight"":{""xPx"":839,""yPx"":588}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.718013468013467,""widthPercents"":49.94047619047619,""heightPercents"":49.494949494949495}}]",24.718013468013,500,40000,9,568,679,5108,103,
